phase,dataset,method,budget,mean_relative_error,median_query_mean_error,p90_query_mean_error,se_query_cluster,median_latency_ms,p90_latency_ms,mean_actual_samples,mean_kernel_evaluations,mean_full_dimension_distances_or_dots,low_dim_score_evaluations,observations,queries
audit,isolet,exact_annular,128,0.10167617811238532,0.09341864248749322,0.15582690901192645,0.003374440059876306,0.6313665,0.6449330999999999,128.0,128.0,1800.0,0.0,1000,200
audit,isolet,exact_annular,256,0.07696630592129405,0.0678161590335093,0.1264685442757501,0.002669916551745179,0.6361195,0.6497143000000001,256.0,256.0,1800.0,0.0,1000,200
audit,isolet,exact_annular,512,0.04998018964052056,0.0443978332164658,0.0841644092027825,0.002060572065873853,0.6462195,0.6610492,512.0,512.0,1800.0,0.0,1000,200
audit,isolet,final,32,0.3633269016272947,0.32544654545088547,0.5914266701899749,0.013201067563056609,0.3016645,0.335754,32.0,32.0,96.0,1800.0,1000,200
audit,isolet,final,64,0.195785410201597,0.18553821371799836,0.30303722383806236,0.00611425436497681,0.3161705,0.3237027,64.0,64.0,128.0,1800.0,1000,200
audit,isolet,final,128,0.11658841895223376,0.11094142416216615,0.16629574149350307,0.0034395198722536,0.38847,0.3975755,128.0,128.0,192.0,1800.0,1000,200
audit,isolet,final,256,0.056632801371208415,0.053897664736111364,0.08660428607961268,0.0015362126113843417,0.4887955,0.4978647,256.0,256.0,320.0,1800.0,1000,200
audit,isolet,final,512,0.024443242458163653,0.02342179382996872,0.036461240697739504,0.00079035670382784,0.660606,0.6729465,512.0,512.0,576.0,1800.0,1000,200
audit,isolet,matched_neyman,32,0.513551478647384,0.4499790607946218,0.8305695826881614,0.020377547089345274,0.5596505,0.5940169000000001,32.0,32.0,96.0,1800.0,1000,200
audit,isolet,matched_neyman,64,0.20545816884242069,0.1857705651341417,0.3123666801215446,0.005988876354089848,0.6049585,0.620292,64.0,64.0,128.0,1800.0,1000,200
audit,isolet,matched_neyman,128,0.10539568086503981,0.09799105463560548,0.15621651420145344,0.003549790116046185,0.656405,0.6733709,128.0,128.0,192.0,1800.0,1000,200
audit,isolet,matched_neyman,256,0.04682768697570684,0.045320452668134295,0.07285180424832209,0.0013605888876708735,0.8051125,0.8271156999999999,256.0,256.0,320.0,1800.0,1000,200
audit,isolet,matched_neyman,512,0.020278871763538618,0.019668723363785362,0.032878723685674884,0.0007326186191032086,0.989547,1.0143081999999999,512.0,512.0,576.0,1800.0,1000,200
audit,isolet,matched_proportional,32,0.3633269016272947,0.32544654545088547,0.5914266701899749,0.013201067563056609,0.3016645,0.335754,32.0,32.0,96.0,1800.0,1000,200
audit,isolet,matched_proportional,64,0.195785410201597,0.18553821371799836,0.30303722383806236,0.00611425436497681,0.3161705,0.3237027,64.0,64.0,128.0,1800.0,1000,200
audit,isolet,matched_proportional,128,0.11658841895223376,0.11094142416216615,0.16629574149350307,0.0034395198722536,0.38847,0.3975755,128.0,128.0,192.0,1800.0,1000,200
audit,isolet,matched_proportional,256,0.056632801371208415,0.053897664736111364,0.08660428607961268,0.0015362126113843417,0.4887955,0.4978647,256.0,256.0,320.0,1800.0,1000,200
audit,isolet,matched_proportional,512,0.024443242458163653,0.02342179382996872,0.036461240697739504,0.00079035670382784,0.660606,0.6729465,512.0,512.0,576.0,1800.0,1000,200
