phase,dataset,budget,method,comparator,mean_error_difference,difference_ci_low,difference_ci_high,relative_error_reduction,reduction_ci_low,reduction_ci_high,query_count,bootstrap_resamples,bootstrap_seed
audit,cifar10_gist512,128,final,uniform_mc,-0.07249482640693486,-0.09245745913806651,-0.05528480180377942,0.3999417998475068,0.33163261970277214,0.46650814395589757,200,1000,20260916
audit,cifar10_gist512,128,final,deann,-0.009197616867017288,-0.017399283813552227,-0.0012124002111844553,0.07796821885060545,0.010962640943956778,0.14484060335381546,200,1000,20260916
audit,cifar10_gist512,128,final,matched_single,-0.030968998846962102,-0.040180771242879915,-0.022376414714403745,0.22162249894357877,0.16708283610075178,0.2753496896179706,200,1000,20260916
audit,cifar10_gist512,128,final,matched_neyman,0.007131395097589949,-0.0005085080782279945,0.014543529345159678,-0.07016519350866268,-0.14628633449428455,0.0046236400395342735,200,1000,20260916
audit,cifar10_gist512,256,final,current_approx,-0.045620875559553103,-0.0544316740624244,-0.037244715029313,0.41389619931133526,0.3551150141177816,0.4641026853005768,200,1000,20260916
audit,cifar10_gist512,256,final,uniform_mc,-0.05506695508236162,-0.06530692356810336,-0.04487332696210367,0.46016031127040624,0.4055814031330437,0.5089909908762855,200,1000,20260916
audit,cifar10_gist512,256,final,deann,-0.010045267156464546,-0.015565379617411107,-0.003831717298989409,0.1345695896107223,0.05313830458315748,0.20384656287042643,200,1000,20260916
audit,cifar10_gist512,256,final,matched_single,-0.014996024624016528,-0.019760242426865804,-0.00992497900262445,0.18839667975950358,0.12768811383421458,0.24258623510518915,200,1000,20260916
audit,cifar10_gist512,256,final,matched_neyman,0.006092764445575094,0.001934980709968231,0.010111931525388692,-0.10413318072018685,-0.17464905624232632,-0.03273853095597614,200,1000,20260916
audit,cifar10_gist512,512,final,current_approx,-0.036484537849777496,-0.042338351075418355,-0.031060199479901247,0.5295892364027331,0.48309112093317436,0.5729905162351893,200,1000,20260916
audit,cifar10_gist512,512,final,uniform_mc,-0.044659570281216074,-0.051343985789658285,-0.0384620541469695,0.5794888620879517,0.5368355224056789,0.6194983417487371,200,1000,20260916
audit,cifar10_gist512,512,final,deann,-0.012298847843004768,-0.016058313043533293,-0.00833859025855556,0.275102290358202,0.19684999672123324,0.3371929673201697,200,1000,20260916
audit,cifar10_gist512,512,final,matched_single,-0.007483998023107385,-0.010093834071422673,-0.005214463470414552,0.1876083503891569,0.13584728719629202,0.24024009816736228,200,1000,20260916
audit,cifar10_gist512,512,final,matched_neyman,0.00194025271770373,-0.0003922481084724724,0.0042024465070431335,-0.06368300851145525,-0.14491371000132097,0.01275578627914993,200,1000,20260916
audit,isolet,32,final,current_approx,-0.16287910839683087,-0.22912994468449333,-0.1040012410826945,0.30953486903230765,0.21619606349723602,0.3956358583376367,200,1000,20260916
audit,isolet,32,final,uniform_mc,-0.26207813238632427,-0.3915718741708181,-0.16946255540022362,0.41905344238181674,0.31331284742572646,0.5218740481450037,200,1000,20260916
audit,isolet,32,final,deann,-0.019282017832074273,-0.05021917926722754,0.015634668686144996,0.05039615349093274,-0.04186250951007936,0.12600697633408714,200,1000,20260916
audit,isolet,32,final,matched_single,-0.06980993222726944,-0.09981858653205687,-0.03948137308674728,0.16117292913192827,0.09318190110786816,0.22001272775913472,200,1000,20260916
audit,isolet,32,final,matched_neyman,-0.15022457702008923,-0.19246906809623748,-0.1094440969171605,0.2925209706644364,0.22602391116659226,0.3526527324630234,200,1000,20260916
audit,isolet,64,final,current_approx,-0.17100684636742458,-0.19577935141144479,-0.1474776702672104,0.46622261867528036,0.42383394850413997,0.5033731820780462,200,1000,20260916
audit,isolet,64,final,uniform_mc,-0.21005873721650606,-0.25273870011041993,-0.1732104732925249,0.5175847392474586,0.4657655701855481,0.5679165975791879,200,1000,20260916
audit,isolet,64,final,deann,-0.003252595772593786,-0.019945395884390864,0.014757965703089905,0.016341581381274284,-0.0777758116791179,0.09582393813537625,200,1000,20260916
