dataset,phase,n,method,time_cap_ms,attained,budget,error
cifar10_gist512,test,1800,official_T,1.0,True,512.0,0.05949073592247509
cifar10_gist512,test,1800,official_T,2.0,True,512.0,0.05949073592247509
cifar10_gist512,test,1800,official_T,4.0,True,512.0,0.05949073592247509
cifar10_gist512,test,1800,projected_current,0.125,False,,
cifar10_gist512,test,1800,projected_current,0.25,False,,
cifar10_gist512,test,1800,projected_current,0.5,True,256.0,0.06324759441452804
cifar10_gist512,test,1800,projected_current,1.0,True,512.0,0.032704440714113305
cifar10_gist512,test,1800,projected_current,2.0,True,512.0,0.032704440714113305
cifar10_gist512,test,1800,projected_current,4.0,True,512.0,0.032704440714113305
cifar10_gist512,test,1800,projected_fast,0.125,False,,
