dataset,phase,n,method,error_target,attained,budget,latency_ms
cifar10_gist512,test,1800,official_E,0.15,True,128.0,0.259153
cifar10_gist512,test,1800,official_E,0.2,True,64.0,0.238705
cifar10_gist512,test,1800,official_O,0.05,True,512.0,0.2274145
cifar10_gist512,test,1800,official_O,0.1,True,256.0,0.1746925
cifar10_gist512,test,1800,official_O,0.15,True,128.0,0.1433545
cifar10_gist512,test,1800,official_O,0.2,True,64.0,0.1195785
cifar10_gist512,test,1800,official_T,0.05,False,,
cifar10_gist512,test,1800,official_T,0.1,True,256.0,0.1276655
cifar10_gist512,test,1800,official_T,0.15,True,128.0,0.1068435
cifar10_gist512,test,1800,official_T,0.2,True,128.0,0.1068435
cifar10_gist512,test,1800,projected_current,0.05,True,512.0,0.6081155
cifar10_gist512,test,1800,projected_current,0.1,True,256.0,0.4903985
cifar10_gist512,test,1800,projected_current,0.15,True,128.0,0.400343
cifar10_gist512,test,1800,projected_current,0.2,True,64.0,0.355066
cifar10_gist512,test,1800,projected_fast,0.05,True,512.0,0.611166
cifar10_gist512,test,1800,projected_fast,0.1,True,256.0,0.494461
cifar10_gist512,test,1800,projected_fast,0.15,True,128.0,0.4033555
cifar10_gist512,test,1800,projected_fast,0.2,True,64.0,0.357648
cifar10_gist512,test,1800,uniform_mc,0.05,False,,
cifar10_gist512,test,1800,uniform_mc,0.1,True,512.0,0.3478135
cifar10_gist512,test,1800,uniform_mc,0.15,True,256.0,0.2357515
cifar10_gist512,test,1800,uniform_mc,0.2,True,128.0,0.1587845
isolet,audit,1800,ann_E_multi,0.05,True,256.0,0.718162
isolet,audit,1800,ann_E_multi,0.1,True,128.0,0.625809
isolet,audit,1800,ann_E_multi,0.15,True,64.0,0.577396
isolet,audit,1800,ann_E_multi,0.2,True,64.0,0.577396
isolet,audit,1800,ann_E_single,0.05,True,256.0,0.4721885
isolet,audit,1800,ann_E_single,0.1,True,128.0,0.3865695
isolet,audit,1800,ann_E_single,0.15,True,128.0,0.3865695
isolet,audit,1800,ann_E_single,0.2,True,64.0,0.3400805
isolet,audit,1800,ann_T_multi,0.05,True,512.0,0.8198115
isolet,audit,1800,ann_T_multi,0.1,True,256.0,0.6593805
isolet,audit,1800,ann_T_multi,0.15,True,128.0,0.5710355
isolet,audit,1800,ann_T_multi,0.2,True,128.0,0.5710355
isolet,audit,1800,ann_T_single,0.05,True,512.0,0.5748475
isolet,audit,1800,ann_T_single,0.1,True,256.0,0.416426
isolet,audit,1800,ann_T_single,0.15,True,128.0,0.3302545
isolet,audit,1800,ann_T_single,0.2,True,128.0,0.3302545
isolet,audit,1800,exact,0.05,True,0.0,0.4247595
isolet,audit,1800,exact,0.1,True,0.0,0.4247595
isolet,audit,1800,exact,0.15,True,0.0,0.4247595
isolet,audit,1800,exact,0.2,True,0.0,0.4247595
isolet,audit,1800,exact_annular,0.05,True,512.0,0.6811525
isolet,audit,1800,exact_annular,0.1,True,256.0,0.665618
isolet,audit,1800,exact_annular,0.15,True,64.0,0.6590685
isolet,audit,1800,exact_annular,0.2,True,64.0,0.6590685
isolet,audit,1800,official_E,0.05,True,256.0,0.256086
isolet,audit,1800,official_E,0.1,True,128.0,0.1980395
isolet,audit,1800,official_E,0.15,True,128.0,0.1980395
isolet,audit,1800,official_E,0.2,True,64.0,0.1707075
isolet,audit,1800,official_O,0.05,True,256.0,0.245622
isolet,audit,1800,official_O,0.1,True,128.0,0.186532
isolet,audit,1800,official_O,0.15,True,128.0,0.186532
isolet,audit,1800,official_O,0.2,True,64.0,0.165526
isolet,audit,1800,official_T,0.05,True,512.0,0.195865
isolet,audit,1800,official_T,0.1,True,256.0,0.1449225
isolet,audit,1800,official_T,0.15,True,128.0,0.1211555
isolet,audit,1800,official_T,0.2,True,128.0,0.1211555
isolet,audit,1800,projected_current,0.05,True,512.0,0.6695855
isolet,audit,1800,projected_current,0.1,True,256.0,0.512506
isolet,audit,1800,projected_current,0.15,True,128.0,0.4248445
isolet,audit,1800,projected_current,0.2,True,64.0,0.3770385
isolet,audit,1800,projected_fast,0.05,True,512.0,0.672757
isolet,audit,1800,projected_fast,0.1,True,256.0,0.515324
isolet,audit,1800,projected_fast,0.15,True,128.0,0.427397
isolet,audit,1800,projected_fast,0.2,True,128.0,0.427397
isolet,audit,1800,uniform_mc,0.05,False,,
isolet,audit,1800,uniform_mc,0.1,False,,
isolet,audit,1800,uniform_mc,0.15,True,512.0,0.4001705
isolet,audit,1800,uniform_mc,0.2,True,512.0,0.4001705
isolet,test,1800,ann_E_multi,0.05,True,256.0,0.7062995
isolet,test,1800,ann_E_multi,0.1,True,128.0,0.618594
isolet,test,1800,ann_E_multi,0.15,True,64.0,0.570079
isolet,test,1800,ann_E_multi,0.2,True,64.0,0.570079
isolet,test,1800,ann_E_single,0.05,True,256.0,0.466238
isolet,test,1800,ann_E_single,0.1,True,128.0,0.381626
isolet,test,1800,ann_E_single,0.15,True,128.0,0.381626
isolet,test,1800,ann_E_single,0.2,True,64.0,0.336235
isolet,test,1800,ann_T_multi,0.05,True,512.0,0.8360245
isolet,test,1800,ann_T_multi,0.1,True,256.0,0.6535885
isolet,test,1800,ann_T_multi,0.15,True,128.0,0.5669175
isolet,test,1800,ann_T_multi,0.2,True,128.0,0.5669175
isolet,test,1800,ann_T_single,0.05,True,512.0,0.591144
isolet,test,1800,ann_T_single,0.1,True,256.0,0.414194
isolet,test,1800,ann_T_single,0.15,True,128.0,0.329166
isolet,test,1800,ann_T_single,0.2,True,128.0,0.329166
isolet,test,1800,exact,0.05,True,0.0,0.4228905
isolet,test,1800,exact,0.1,True,0.0,0.4228905
isolet,test,1800,exact,0.15,True,0.0,0.4228905
isolet,test,1800,exact,0.2,True,0.0,0.4228905
isolet,test,1800,exact_annular,0.05,False,,
isolet,test,1800,exact_annular,0.1,True,256.0,0.6597905
isolet,test,1800,exact_annular,0.15,True,64.0,0.6529255
isolet,test,1800,exact_annular,0.2,True,64.0,0.6529255
isolet,test,1800,official_E,0.05,True,256.0,0.249094
isolet,test,1800,official_E,0.1,True,128.0,0.1947515
isolet,test,1800,official_E,0.15,True,128.0,0.1947515
isolet,test,1800,official_E,0.2,True,64.0,0.16499
isolet,test,1800,official_O,0.05,True,256.0,0.2353345
isolet,test,1800,official_O,0.1,True,128.0,0.181373
isolet,test,1800,official_O,0.15,True,128.0,0.181373
isolet,test,1800,official_O,0.2,True,64.0,0.1529755
isolet,test,1800,official_T,0.05,True,512.0,0.195783
isolet,test,1800,official_T,0.1,True,256.0,0.142374
isolet,test,1800,official_T,0.15,True,128.0,0.1211815
isolet,test,1800,official_T,0.2,True,128.0,0.1211815
isolet,test,1800,projected_current,0.05,True,512.0,0.6801845
isolet,test,1800,projected_current,0.1,True,256.0,0.506856
isolet,test,1800,projected_current,0.15,True,128.0,0.4230125
isolet,test,1800,projected_current,0.2,True,128.0,0.4230125
isolet,test,1800,projected_fast,0.05,True,512.0,0.684386
isolet,test,1800,projected_fast,0.1,True,256.0,0.5092825
isolet,test,1800,projected_fast,0.15,True,128.0,0.4248345
isolet,test,1800,projected_fast,0.2,True,128.0,0.4248345
isolet,test,1800,uniform_mc,0.05,False,,
isolet,test,1800,uniform_mc,0.1,False,,
isolet,test,1800,uniform_mc,0.15,True,512.0,0.4122505
isolet,test,1800,uniform_mc,0.2,True,512.0,0.4122505
