dataset,phase,n,method,budget,mean_relative_error,median_error,p90_error,se_query_cluster,median_latency_ms,queries,actual_kernel_evaluations,actual_samples
isolet,test,1800,ann_T_multi,256,0.058202537313765734,0.0549287079174453,0.09153850871493253,0.0016802772254745797,0.6535885,200,256.0,256.0
isolet,test,1800,ann_T_multi,512,0.0287659696120309,0.024806651167077302,0.0511866665813831,0.0012674293245205864,0.8360245,200,512.0,512.0
isolet,test,1800,ann_T_single,32,0.43989950401854266,0.40760740230317105,0.6517497882525299,0.013629498928888132,0.2628275,200,32.0,32.0
isolet,test,1800,ann_T_single,64,0.2646520935357012,0.25704361532029363,0.3903411671610938,0.007072229785579052,0.2827885,200,64.0,64.0
isolet,test,1800,ann_T_single,128,0.14493462413892785,0.1413101060170345,0.21088492510128842,0.004244859535523161,0.329166,200,128.0,128.0
isolet,test,1800,ann_T_single,256,0.0759053285143855,0.07180874167379281,0.11795975474715929,0.0024719947485591838,0.414194,200,256.0,256.0
isolet,test,1800,ann_T_single,512,0.037564099608032316,0.034625471337984506,0.06122780609232518,0.0013811074283160553,0.591144,200,512.0,512.0
isolet,test,1800,exact,32,0.0,0.0,0.0,0.0,0.42352,200,1800.0,1800.0
isolet,test,1800,exact,64,0.0,0.0,0.0,0.0,0.4222085,200,1800.0,1800.0
isolet,test,1800,exact,128,0.0,0.0,0.0,0.0,0.4228905,200,1800.0,1800.0
isolet,test,1800,exact,256,0.0,0.0,0.0,0.0,0.422167,200,1800.0,1800.0
isolet,test,1800,exact,512,0.0,0.0,0.0,0.0,0.4359995,200,1800.0,1800.0
isolet,test,1800,exact_annular,32,0.18346670297981027,0.1695786841233714,0.29447808077384974,0.005707893800510847,0.654774,200,32.0,32.0
isolet,test,1800,exact_annular,64,0.14337088156801248,0.1316488843109645,0.23805111112393612,0.005303072879153231,0.6529255,200,64.0,64.0
isolet,test,1800,exact_annular,128,0.1131183826745163,0.10357692315192452,0.1776532199386159,0.0038631845480615714,0.656011,200,128.0,128.0
isolet,test,1800,exact_annular,256,0.07529528348712836,0.06883293642352091,0.1191727075888294,0.002872392342237995,0.6597905,200,256.0,256.0
isolet,test,1800,exact_annular,512,0.05213405201189332,0.0472502890184643,0.08438692924619225,0.0021075060474021407,0.6875305,200,512.0,512.0
isolet,test,1800,official_E,32,0.37577723759969023,0.3488451431741235,0.5789138188364834,0.011529863713583968,0.151838,200,32.296,32.0
isolet,test,1800,official_E,64,0.18418611484563852,0.1776706965283713,0.277261035681919,0.0054836289820067476,0.16499,200,65.216,64.0
isolet,test,1800,official_E,128,0.08255894413797904,0.08129409638667182,0.1259680863531233,0.0025811292522409106,0.1947515,200,132.81,128.0
isolet,test,1800,official_E,256,0.03545685607029135,0.032118656943394996,0.06010648752571066,0.0014430380399495016,0.249094,200,275.46,256.0
isolet,test,1800,official_E,512,0.014977258075988183,0.0132021027440626,0.026911170767962175,0.0007767617794809509,0.388809,200,596.136,511.69
isolet,test,1800,official_O,32,0.370566639683495,0.3559820126518761,0.555789873164991,0.010642700210800937,0.138913,200,32.294,32.0
isolet,test,1800,official_O,64,0.19020908093126607,0.1845152596955202,0.2832228533569566,0.005410149991743083,0.1529755,200,65.24,64.0
isolet,test,1800,official_O,128,0.08787491308087411,0.08135250754205192,0.13917175845929175,0.003016803175022389,0.181373,200,132.563,127.775
isolet,test,1800,official_O,256,0.046385753143456325,0.0420986844785195,0.08151879703478221,0.0020395802536935315,0.2353345,200,273.498,254.32
isolet,test,1800,official_O,512,0.02620149530503511,0.0237597001798805,0.04922868549337758,0.001378577838828986,0.3676055,200,560.36,485.22
isolet,test,1800,official_T,32,0.4406599481268029,0.4200236605659662,0.6964272157869624,0.0140770907873915,0.105071,200,32.098,32.0
isolet,test,1800,official_T,64,0.26772576885888233,0.23907081445727701,0.44159330176874856,0.009236221472290225,0.107166,200,64.512,64.0
isolet,test,1800,official_T,128,0.1446986788276576,0.1364024791913075,0.21595858094353132,0.003978771306553787,0.1211815,200,129.906,128.0
isolet,test,1800,official_T,256,0.07142086558193399,0.06745282316650571,0.11058352492913402,0.002322637008026429,0.142374,200,263.728,255.86
isolet,test,1800,official_T,512,0.03612958771251911,0.0338937829203519,0.05947240495319282,0.001334612478231631,0.195783,200,542.939,510.675
isolet,test,1800,projected_current,32,0.3520774874551559,0.31453665743328085,0.5604942537876763,0.014206770391489383,0.35795,200,32.0,32.0
isolet,test,1800,projected_current,64,0.2099214721277886,0.1941305704187951,0.33016591263713135,0.006847220700885225,0.376077,200,64.0,64.0
isolet,test,1800,projected_current,128,0.11002685105252322,0.1077793739431621,0.1694820084103943,0.003121366767311392,0.4230125,200,128.0,128.0
isolet,test,1800,projected_current,256,0.05296409700632076,0.052255841894627106,0.08127532719701062,0.0016211628164141151,0.506856,200,256.0,256.0
isolet,test,1800,projected_current,512,0.022004976421734757,0.02093289339592126,0.03642037483006212,0.0007500898164437789,0.6801845,200,512.0,512.0
isolet,test,1800,projected_fast,32,0.35786655034049647,0.30976151725940326,0.5645897107372085,0.014476679596159496,0.3575905,200,32.0,32.0
isolet,test,1800,projected_fast,64,0.2121106272358483,0.2034574154547784,0.3338351278731502,0.006503618124474473,0.374852,200,64.0,64.0
isolet,test,1800,projected_fast,128,0.10964295617365295,0.100721011414704,0.17898276903124005,0.0035735503841352605,0.4248345,200,128.0,128.0
isolet,test,1800,projected_fast,256,0.05310165557619848,0.052499008058304306,0.08151080054874782,0.0016074055519396519,0.5092825,200,256.0,256.0
isolet,test,1800,projected_fast,512,0.02247410318599653,0.021160621859152004,0.036186444595566386,0.0008081161276803906,0.684386,200,512.0,512.0
isolet,test,1800,uniform_mc,32,0.565507943679159,0.486687861542868,0.9801425923742193,0.02445482742161036,0.1135465,200,32.0,32.0
isolet,test,1800,uniform_mc,64,0.4390715091617489,0.3425103904096643,0.7090363794938334,0.026676537170594657,0.129294,200,64.0,64.0
isolet,test,1800,uniform_mc,128,0.30723561330817245,0.2542471282498714,0.5610627344916242,0.014456740209889607,0.1685995,200,128.0,128.0
isolet,test,1800,uniform_mc,256,0.22681868305275368,0.1879724139780759,0.34526145144980575,0.012067154749716424,0.249692,200,256.0,256.0
isolet,test,1800,uniform_mc,512,0.13929387887583164,0.11919257978422301,0.22395225238443878,0.006648890720026103,0.4122505,200,512.0,512.0
cifar10_gist512,test,1800,ann_E_multi,32,0.21798084982606825,0.2077879986495321,0.31885593930251743,0.00658370933441027,0.6180545,200,32.0,32.0
cifar10_gist512,test,1800,ann_E_multi,64,0.13313457328976727,0.1265324723006817,0.1963244705412458,0.003769012710935905,0.63751,200,64.0,64.0
cifar10_gist512,test,1800,ann_E_multi,128,0.07670521139554211,0.0722576969054121,0.11743068596621317,0.002095846009705779,0.6813095,200,128.0,128.0
cifar10_gist512,test,1800,ann_E_multi,256,0.038668678191845315,0.036413244839595404,0.05638672648398359,0.0009075635888920628,0.7847205,200,256.0,256.0
cifar10_gist512,test,1800,ann_E_multi,512,0.017021433424830888,0.016950156397790402,0.025363928094489837,0.00044751537239592844,0.913597,200,512.0,512.0
cifar10_gist512,test,1800,ann_E_single,32,0.2843344932744077,0.25812090259869164,0.4505013168320853,0.008247051026936352,0.400088,200,32.0,32.0
cifar10_gist512,test,1800,ann_E_single,64,0.1743689151016756,0.1710963804679636,0.24753367381647307,0.004398084561174266,0.4170335,200,64.0,64.0
cifar10_gist512,test,1800,ann_E_single,128,0.10072805247737154,0.0974158549060598,0.14109486922546746,0.0025667558466290303,0.4596365,200,128.0,128.0
cifar10_gist512,test,1800,ann_E_single,256,0.05268234368992732,0.05109258916235881,0.07776529361014337,0.0012951851030911356,0.548809,200,256.0,256.0
cifar10_gist512,test,1800,ann_E_single,512,0.02331503458137778,0.022535077325972,0.03199091333312994,0.000577621750477023,0.6789745,200,512.0,512.0
cifar10_gist512,test,1800,ann_T_multi,32,0.2338284736257063,0.214508954068161,0.3897247797102588,0.008058692265489302,0.4698295,200,32.0,32.0
cifar10_gist512,test,1800,ann_T_multi,64,0.16735014966068576,0.14826285995602792,0.27234775103421927,0.005793422584655952,0.479907,200,64.0,64.0
cifar10_gist512,test,1800,ann_T_multi,128,0.11382982540250162,0.10020799108419802,0.1814149673641927,0.00429436965023577,0.529303,200,128.0,128.0
cifar10_gist512,test,1800,ann_T_multi,256,0.07441235723292529,0.06753119845942451,0.1194772074283417,0.0025412097893418514,0.6253775,200,256.0,256.0
cifar10_gist512,test,1800,ann_T_multi,512,0.05090643992574125,0.042384070102149105,0.08441327325376773,0.002192101204111128,0.7545555,200,512.0,512.0
cifar10_gist512,test,1800,ann_T_single,32,0.2954481084881798,0.24603964258027602,0.46808958091283287,0.012004186662276005,0.236826,200,32.0,32.0
cifar10_gist512,test,1800,ann_T_single,64,0.2171345370470122,0.1926907148077847,0.3355277373996443,0.007317323185849957,0.2586205,200,64.0,64.0
cifar10_gist512,test,1800,ann_T_single,128,0.1401500568551952,0.1346472869281051,0.20563974052514217,0.004423524010216545,0.302566,200,128.0,128.0
