dataset,phase,n,method,budget,error,latency_ms,dominated_by_any,dominated_by_existing,any_dominator_method,any_dominator_budget,existing_dominator_method,existing_dominator_budget
cifar10_gist512,audit,20000,exact,0,0.0,4.741471,False,False,,,,
cifar10_gist512,test,1800,ann_E_multi,32,0.2179808498260682,0.6180545,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,ann_E_multi,64,0.1331345732897672,0.63751,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,ann_E_multi,128,0.0767052113955421,0.6813095,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,test,1800,ann_E_multi,256,0.0386686781918453,0.7847205,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,test,1800,ann_E_multi,512,0.0170214334248308,0.913597,True,True,exact,0.0,exact,0.0
cifar10_gist512,test,1800,ann_E_single,32,0.2843344932744077,0.400088,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,ann_E_single,64,0.1743689151016756,0.4170335,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,test,1800,ann_E_single,128,0.1007280524773715,0.4596365,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,ann_E_single,256,0.0526823436899273,0.548809,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,test,1800,ann_E_single,512,0.0233150345813777,0.6789745,True,True,official_E,512.0,official_E,512.0
cifar10_gist512,test,1800,ann_T_multi,32,0.2338284736257063,0.4698295,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,ann_T_multi,64,0.1673501496606857,0.479907,True,True,official_T,128.0,official_T,128.0
cifar10_gist512,test,1800,ann_T_multi,128,0.1138298254025016,0.529303,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,ann_T_multi,256,0.0744123572329252,0.6253775,True,True,official_T,512.0,official_T,512.0
cifar10_gist512,test,1800,ann_T_multi,512,0.0509064399257412,0.7545555,True,True,official_O,512.0,official_O,512.0
cifar10_gist512,test,1800,ann_T_single,32,0.2954481084881798,0.236826,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,ann_T_single,64,0.2171345370470122,0.2586205,True,True,official_T,64.0,official_T,64.0
cifar10_gist512,test,1800,ann_T_single,128,0.1401500568551952,0.302566,True,True,official_T,256.0,official_T,256.0
cifar10_gist512,test,1800,ann_T_single,256,0.0947922468176894,0.38974,True,True,official_T,512.0,official_T,512.0
