dataset,phase,budget,comparator,final_gain_percent,gain_ci_low,gain_ci_high,error_difference_percent_points,difference_ci_low,difference_ci_high
cifar10,audit,512,deann_original,44.27951648229167,38.40355100112501,49.03928557450926,2.0679141626286137,1.6995184109618473,2.4368836921474166
cifar10,audit,512,exact_annular,38.89453293592658,32.597951394466136,44.39078144224994,1.6563534122555073,1.3131317960683715,2.017196637756793
cifar10,audit,512,uniform_mc,73.4550360101434,70.21519860554032,76.01333034759104,7.2008530719582655,6.426894672081633,7.98653789364362
cifar10,test,32,deann_mean_relative_error,23.693387602949645,18.12026918601915,29.659046936778502,9.16717802968337,6.768436716637794,11.855397631499077
cifar10,test,32,deann_median_time_ns,25.717193212064803,20.030409306898537,31.166701643817802,10.221295464242242,7.615549091508282,12.874748873122567
cifar10,test,32,deann_original,21.89348658445043,16.55448793649682,27.268873949393832,8.275578404388106,6.072647505621463,10.506889822967942
cifar10,test,32,exact_annular,-68.28941285722027,-81.08269077516877,-55.955687340642186,-11.980288142534917,-13.581007135976265,-10.184139184715125
cifar10,test,32,uniform_mc,29.966105629695683,23.05992141935675,36.59754360709177,12.632598967457831,9.031681365236446,16.95932936605149
cifar10,test,64,deann_mean_relative_error,12.155501880232677,4.57736650179514,19.261912885784056,2.6182034927017703,0.949408249530871,4.209026471150004
cifar10,test,64,deann_median_time_ns,29.210182833030284,24.469380959922933,34.12621810593306,7.807438171262074,6.35206486528871,9.420201705641578
cifar10,test,64,deann_original,13.795105500662908,6.996712472012634,20.073891697272984,3.0278765915445676,1.4981634170476024,4.531365373281253
cifar10,test,64,exact_annular,-45.77129877605468,-56.53638813939244,-35.329029693798034,-5.941092054188241,-7.135641695223758,-4.6965422580564855
cifar10,test,64,uniform_mc,39.266549948898046,34.82656923126953,43.240564112640776,12.233193949194396,10.349276312886587,14.173934132237873
cifar10,test,128,deann_mean_relative_error,-7.790029980038415,-16.987416089494317,1.2262066704135584,-0.8122738232634472,-1.6911751206779453,0.13477832858211766
cifar10,test,128,deann_median_time_ns,37.04325420909262,32.60418241822492,41.48425197664641,6.613156218258487,5.610400284340969,7.6348991807301525
cifar10,test,128,deann_original,13.079641851291113,6.164033519564499,19.581979607663904,1.6912829332802999,0.755051579885686,2.6068255897312804
cifar10,test,128,exact_annular,-19.17179223940422,-27.879883815712695,-10.262203330511742,-1.80813629739362,-2.540357974101882,-1.013892054020634
cifar10,test,128,uniform_mc,48.88831425530773,44.80181590563423,52.431978800144556,10.750453345384742,9.266360417318603,12.107919657618808
cifar10,test,256,deann_mean_relative_error,-35.871045360498655,-45.946871685865155,-25.76957919911321,-1.5581215751901598,-1.9177666083718976,-1.1809078959235582
cifar10,test,256,deann_median_time_ns,48.931501842317914,45.148725369893555,52.82156794141206,5.654831706296045,4.910590163228338,6.516535366345398
cifar10,test,256,deann_original,27.877652888397243,21.915462986841355,33.018926357580064,2.2812379062048818,1.7078165574752353,2.8318064886834833
cifar10,test,256,exact_annular,10.607130938869513,2.9124650435396213,17.79187652501737,0.7002921832277326,0.18270657429410012,1.226652508761544
cifar10,test,256,uniform_mc,61.40054978708276,58.024300085217575,64.12614394151308,9.388049392993183,8.314180949595446,10.455115141721533
cifar10,test,512,deann_mean_relative_error,-93.71205822628046,-112.39858106928804,-76.98882579964014,-1.2179204845545473,-1.405725086744406,-1.0495307573791115
cifar10,test,512,deann_median_time_ns,65.33611470901536,61.9197243745582,68.55623238247422,4.745218122294234,4.224409244764318,5.307950535425386
cifar10,test,512,deann_original,44.178886622188195,39.74347584021709,47.88391937992421,1.9924910829558342,1.6979756787934237,2.2669829721629786
cifar10,test,512,exact_annular,42.84244668985302,37.18991954243365,47.85274071835583,1.8870384486394665,1.5336232745805782,2.255157356712277
cifar10,test,512,uniform_mc,74.73365873421196,71.99220418131537,77.25153012510135,7.446530984573332,6.657350687884517,8.289106035872233
cifar10_gist512,audit,32,deann_mean_relative_error,10.836127157449827,3.681109350290207,16.78007994634973,3.1769816650932867,1.041775184179175,5.026725338350139
cifar10_gist512,audit,32,deann_median_time_ns,16.300800992132036,9.6732930483614,22.51576898767828,5.091165126625058,2.9104765170030626,7.30512928225454
