dataset,phase,n,method,budget,mean_error,median_latency_ms,mean_kernel_evaluations,observations,error_ci_low,error_ci_high,mean_error_percent,nondominated,dominators
cifar10_gist512,audit_prefix100,10000,deann_original,128,0.1550918209103599,0.243274,128.684,500,0.1388415527999175,0.17566464519814942,15.509182091035989,False,deann_median_time_ns:M256;uniform_mc:M256
cifar10_gist512,audit_prefix100,10000,deann_original,256,0.10317391436727408,0.277341,258.396,500,0.09624419415508878,0.11148143916819234,10.317391436727409,True,
cifar10_gist512,audit_prefix100,10000,exact,0,0.0,2.635351,10000.0,100,0.0,0.0,0.0,True,
cifar10_gist512,audit_prefix100,10000,exact_annular,64,0.1109352769105192,2.2917295,64.0,500,0.10028765942683156,0.12203985535568315,11.09352769105192,False,deann_mean_relative_error:M256;deann_original:M256;exact_annular:M128;final:M256
cifar10_gist512,audit_prefix100,10000,exact_annular,128,0.08091519261829082,2.2791925,128.0,500,0.07371977399134909,0.08837553563840028,8.091519261829081,True,
cifar10_gist512,audit_prefix100,10000,exact_annular,256,0.059493233842526416,2.2935195,256.0,500,0.05245730774459834,0.06759299784815088,5.949323384252642,True,
cifar10_gist512,audit_prefix100,10000,final,64,0.20218306824701704,0.8744345,64.0,500,0.18386884027664432,0.22188977653278258,20.218306824701703,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit_prefix100,10000,final,128,0.14487673926173023,0.93254,128.0,500,0.13321198162213896,0.15769689841612927,14.487673926173022,False,deann_mean_relative_error:M256;deann_median_time_ns:M256;deann_original:M256;uniform_mc:M256
cifar10_gist512,audit_prefix100,10000,final,256,0.08754491153371946,1.0572055,256.0,500,0.08006514596418272,0.09543927101733428,8.754491153371946,True,
cifar10_gist512,audit_prefix100,10000,uniform_mc,64,0.3514151862351853,0.0885805,64.0,500,0.23539884535587124,0.5535557555490406,35.14151862351853,False,deann_median_time_ns:M64;deann_median_time_ns:M128
cifar10_gist512,audit_prefix100,10000,uniform_mc,128,0.19490155339142237,0.1181445,128.0,500,0.16940792269405833,0.2230534267845762,19.490155339142238,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,10000,uniform_mc,256,0.13807086839143878,0.2047255,256.0,500,0.11954034882734098,0.15819727632358757,13.807086839143878,False,deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,20000,deann_mean_relative_error,64,0.24668490810985486,1.411089,64.092,500,0.22608291767904265,0.2673964661075397,24.668490810985485,False,deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit_prefix100,20000,deann_mean_relative_error,128,0.17310930824616622,1.436879,128.384,500,0.15811487915946962,0.18928301524026034,17.310930824616623,False,deann_median_time_ns:M256;deann_original:M256
cifar10_gist512,audit_prefix100,20000,deann_mean_relative_error,256,0.11517814683237027,1.4895695,257.224,500,0.10567637756279996,0.12465605578345403,11.517814683237027,True,
cifar10_gist512,audit_prefix100,20000,deann_median_time_ns,64,0.26882042890824037,0.1096705,64.024,500,0.2400770587145884,0.2989186449245027,26.88204289082404,False,uniform_mc:M64
cifar10_gist512,audit_prefix100,20000,deann_median_time_ns,128,0.1733284463962952,0.1226405,128.176,500,0.15978725967066396,0.18838793890577601,17.33284463962952,True,
cifar10_gist512,audit_prefix100,20000,deann_median_time_ns,256,0.12074396264239953,0.142068,256.712,500,0.10859865568033966,0.1350198784860866,12.074396264239953,True,
cifar10_gist512,audit_prefix100,20000,deann_original,64,0.2543874670114155,0.289445,64.084,500,0.23113098835259677,0.2773701702223195,25.43874670114155,False,deann_median_time_ns:M128;deann_median_time_ns:M256;uniform_mc:M64;uniform_mc:M128;uniform_mc:M256
cifar10_gist512,audit_prefix100,20000,deann_original,128,0.17810373296735046,0.3047785,128.356,500,0.1620494570784455,0.19432404171247547,17.810373296735047,False,deann_median_time_ns:M128;deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,20000,deann_original,256,0.12798670602043224,0.345635,257.176,500,0.11196015186247413,0.14696390896674974,12.798670602043224,False,deann_median_time_ns:M256
cifar10_gist512,audit_prefix100,20000,exact,0,0.0,4.799833,20000.0,100,0.0,0.0,0.0,True,
cifar10_gist512,audit_prefix100,20000,exact_annular,64,0.11807409547142154,4.9567895,64.0,500,0.10896000682728667,0.12817891614480442,11.807409547142154,False,deann_mean_relative_error:M256;exact:M0;exact_annular:M128;exact_annular:M256;final:M256
cifar10_gist512,audit_prefix100,20000,exact_annular,128,0.07938925362622257,4.9393865,128.0,500,0.0711356920211925,0.08743685007901165,7.938925362622257,False,exact:M0
cifar10_gist512,audit_prefix100,20000,exact_annular,256,0.05352021757719133,4.946134,256.0,500,0.0484872098595956,0.05875515263910859,5.352021757719133,False,exact:M0
cifar10_gist512,audit_prefix100,20000,final,64,0.2214392928964322,1.604727,64.0,500,0.19794805587189532,0.25073961206662504,22.143929289643218,False,deann_mean_relative_error:M128;deann_mean_relative_error:M256;deann_median_time_ns:M128;deann_median_time_ns:M256;deann_original:M128;deann_original:M256;uniform_mc:M128
cifar10_gist512,audit_prefix100,20000,final,128,0.15516138681001534,1.651302,128.0,500,0.14117655020177813,0.17082622656981467,15.516138681001534,False,deann_mean_relative_error:M256;deann_median_time_ns:M256;deann_original:M256
cifar10_gist512,audit_prefix100,20000,final,256,0.10252875378837689,1.821521,256.0,500,0.09378431003418658,0.11280119572433418,10.25287537883769,True,
cifar10_gist512,audit_prefix100,20000,uniform_mc,64,0.2533978740480899,0.088998,64.0,500,0.22816745343259362,0.2807204621540466,25.339787404808988,True,
cifar10_gist512,audit_prefix100,20000,uniform_mc,128,0.19090797428578016,0.1201805,128.0,500,0.17067526990805865,0.21366223121872227,19.090797428578014,True,
cifar10_gist512,audit_prefix100,20000,uniform_mc,256,0.23444249051882493,0.2049085,256.0,500,0.12233783700374663,0.4448639549491902,23.444249051882494,False,deann_median_time_ns:M128;deann_median_time_ns:M256;uniform_mc:M128
