dataset,query_id,raw_row_id,grouping,candidate_size,candidate_fraction,mass_recall,variance_ratio
cifar10_gist512,63,29920,random_quantile,1651,0.9172222222222224,0.9893063199296096,1.0005759646694095
cifar10_gist512,63,29920,ordered_quantile,1651,0.9172222222222224,0.9893063199296096,0.4156389842248617
cifar10_gist512,64,25810,old_annuli,1616,0.8977777777777778,0.987481716648072,1.0020531360206464
cifar10_gist512,64,25810,hamming_quantile,1616,0.8977777777777778,0.987481716648072,0.72721679633495
cifar10_gist512,64,25810,real_quantile,1616,0.8977777777777778,0.987481716648072,0.6416704810887931
cifar10_gist512,64,25810,random_quantile,1616,0.8977777777777778,0.987481716648072,0.9997831761376208
cifar10_gist512,64,25810,ordered_quantile,1616,0.8977777777777778,0.987481716648072,0.3726059286611078
cifar10_gist512,65,3019,old_annuli,1550,0.8611111111111112,0.9917242970105028,0.9778864421189308
cifar10_gist512,65,3019,hamming_quantile,1550,0.8611111111111112,0.9917242970105028,0.7686538225884755
cifar10_gist512,65,3019,real_quantile,1550,0.8611111111111112,0.9917242970105028,0.4894528316380138
cifar10_gist512,65,3019,random_quantile,1550,0.8611111111111112,0.9917242970105028,0.9953278483758788
cifar10_gist512,65,3019,ordered_quantile,1550,0.8611111111111112,0.9917242970105028,0.3387594581281474
cifar10_gist512,66,337,old_annuli,1753,0.9738888888888888,0.9907233307886816,0.9736975104583556
cifar10_gist512,66,337,hamming_quantile,1753,0.9738888888888888,0.9907233307886816,0.8102801179429254
cifar10_gist512,66,337,real_quantile,1753,0.9738888888888888,0.9907233307886816,0.6522421688550732
cifar10_gist512,66,337,random_quantile,1753,0.9738888888888888,0.9907233307886816,1.0006660079260974
cifar10_gist512,66,337,ordered_quantile,1753,0.9738888888888888,0.9907233307886816,0.3175148001154975
cifar10_gist512,67,16801,old_annuli,1243,0.6905555555555556,0.9996075000089374,0.8015929401918848
cifar10_gist512,67,16801,hamming_quantile,1243,0.6905555555555556,0.9996075000089374,0.5773309229123111
