dataset,block,partition,queries,predicted_variance_ratio_median,empirical_variance_ratio_median,empirical_over_predicted_median,empirical_over_predicted_p10,empirical_over_predicted_p90,mean_relative_error_percent,ordering_spearman_median,absolute_relative_bias_mean,mean_predicted_relative_variance,mean_empirical_relative_variance
cifar10_gist512,matched_H,projected,80,0.6347566234668399,0.6384879561312172,1.000450719694275,0.9321360287652257,1.0838458245274618,10.642345755265762,0.8051283385953176,0.003548725345274292,0.019120904934022097,0.01921020861079464
cifar10_gist512,matched_H,random,80,1.0001522979345348,1.0004044677861739,0.9947112239782118,0.9711516139397944,1.0266243851218808,13.354340331037646,-0.0006683247682695598,0.001735259862874749,0.0294702809967659,0.029424655778232844
cifar10_gist512,matched_H,single,80,1.0,1.0,0.9911999335179813,0.9274261568014331,1.0668792453526923,13.323997842746952,,0.004362049663709665,0.02946566140805651,0.029215389907297096
cifar10_gist512,old_sizes,exact_order,80,0.8733505902878064,0.8554937045917881,0.9955982276092774,0.9324165935653792,1.050485559868426,15.694507573584316,1.0,0.0046307251182161014,0.06099756561642857,0.06097463821858369
cifar10_gist512,old_sizes,original_norm_angle,80,0.9861442575431925,0.9802547890482387,1.0102195171182142,0.9590709645407305,1.0778911396486155,16.936705395633304,,0.005384428254792367,0.06696482133965376,0.0683851980245419
cifar10_gist512,old_sizes,projected,80,0.8846971696368398,0.88037686928454,0.9929083591757095,0.9370336499974682,1.0493578951672837,16.04437719270644,0.8084988175699328,0.0050092672500982125,0.06329968690615118,0.06187034039282189
cifar10_gist512,old_sizes,random,80,1.0077890021316689,1.0029612916277197,1.0003769259350022,0.9738043216487766,1.0274440804281384,17.123727698443318,0.0003666243818237001,0.002790642091025621,0.06877386001654706,0.0688162210060077
cifar10_gist512,old_sizes,single,80,1.0,1.0,1.0050341782349266,0.9419616706265043,1.0680063901659667,16.986110654645735,,0.004920827445711283,0.0684850760244902,0.06791975180607364
isolet,equal_C,exact_order,80,0.5623528659708155,0.5615288962854803,0.9978914627396589,0.9266069548840791,1.0777683092634192,20.523077900967177,1.0,0.009101268385970637,0.16727094469866874,0.1538767924724531
isolet,equal_C,norm_angle_hamming_quantiles,80,0.9332795672080905,0.926045634073088,1.006239079554565,0.9269509549732108,1.0725489605165868,24.83647267742602,0.21046160089022145,0.009262278036481225,0.19393800243531856,0.18669671539074897
isolet,equal_C,projected,80,0.6270136880501058,0.6398154907818299,0.996738940080913,0.9318658642506142,1.0757162611739155,21.53569495651541,0.8719893400202047,0.00871878499727319,0.172462415579716,0.15899859898847682
isolet,equal_C,random,80,1.0012058445182053,1.0049209157972196,0.9950125673951187,0.968414659508188,1.0257224545302723,25.828656837210634,0.00025741185428737996,0.003351505051496495,0.20852095349478436,0.20634848465598563
isolet,equal_C,single,80,1.0,1.0,0.993068104287183,0.9301336075382072,1.0689178976586724,25.94707667615449,,0.009237663029608328,0.20813753284915695,0.22242053383302127
isolet,matched_H,exact_order,80,0.4885246610856152,0.47894252959418204,0.9995188190057955,0.9324463114600877,1.0558923541349396,9.97422328998881,1.0,0.0030233910746316865,0.01693519416234296,0.016828626040495225
isolet,matched_H,projected,80,0.6212008829697335,0.6409105551489986,0.9945214003393917,0.9325661938257996,1.0622963209353244,11.286384901835254,0.8644052389240597,0.003619775599590376,0.021230961541969007,0.02107337525901491
isolet,matched_H,random,80,1.0000346283508592,1.00554566199934,0.9988058704626293,0.9768135965663591,1.0238066157721224,14.382488761819692,0.00018510853488412014,0.002078052324972591,0.03379545821852918,0.03377688539303236
isolet,matched_H,single,80,1.0,1.0,0.9929475810907487,0.9240172805839418,1.0507151125090428,14.346978371821894,,0.0037561947101780622,0.0337965694744694,0.033560074498503546
isolet,old_sizes,exact_order,80,1.0049753673152115,0.9672877334663401,0.9850936378216375,0.9229609756299881,1.051475941502334,25.61730417956296,1.0,0.008806656731075497,0.20951029021926876,0.19746206299493552
isolet,old_sizes,original_norm_angle,80,1.0049752621107895,0.9931015182901903,1.0037551140134044,0.9351155027038875,1.0806962438419891,25.873531496580192,,0.009199328634833345,0.20969506030469143,0.20310023993794352
isolet,old_sizes,projected,80,1.0049754491173246,0.9739969087821101,0.9774528429182543,0.9260949391443146,1.0602807920010417,25.607580512047857,0.8719893400202047,0.00886083683910885,0.20960680744596125,0.19680916779372912
isolet,old_sizes,random,80,1.004221822866426,0.9867187096834329,1.0016032740332819,0.9719122873688429,1.0264186048694177,25.87710801590129,0.0020836630541134597,0.003413467644601756,0.21006918374352362,0.21005289609675795
isolet,old_sizes,single,80,1.0,1.0,1.0161193030421547,0.9455398157957824,1.06831599416309,26.000253325398475,,0.009558238341951764,0.20813753284915695,0.22039252337558154
