dataset,phase,h_factor,budget,queries,exact_annular_error_percent,final_error_percent,matched_single_error_percent,uniform_mc_error_percent,matched_gain_percent,matched_gain_ci_low,matched_gain_ci_high,variance_ratio_median,recovery,recovery_ci_low,recovery_ci_high,recovery_denominator,recovery_denominator_ci_low,recovery_denominator_ci_high,recovery_stable,classification,H_mass_median,kernel_CV_median,single_relative_variance_median,multi_relative_variance_median,variance_ratio_median_recomputed,exact_annular_opportunity_pp
cifar10_gist512,test,0.5,128,200,65.23474088333269,38.05850957187762,35.00375306347854,102.7922502151618,-8.72693994515199,-27.24420892611324,7.404875226375204,0.9792399562581514,1.7235898171880062,1.4361390913241632,2.19173956048692,0.3755750933182912,0.2694901235546983,0.4819546573193771,True,Reversed,0.6625888553042916,16.650411590415636,0.1937867755040705,0.1852171048647863,0.9792399562581514,37.55750933182911
cifar10_gist512,test,0.75,128,200,20.653857444095586,20.187097333961496,21.601837545099325,38.54700159960304,6.549166052120336,-2.0176375696348137,14.607525388718956,0.8345538467182863,1.026085974945349,0.9219066179886644,1.138574758925199,0.1789314415550745,0.1440445634685312,0.2162041175464799,True,Positive but uncertain,0.28889764274397123,4.641258749257084,0.07144749831035116,0.05966641109188905,0.8345538467182863,17.893144155507457
cifar10_gist512,test,1.0,128,200,7.702383137398707,10.549423475422032,13.40443613142892,15.890221416472288,21.2990134610201,16.045963701077063,26.180833771062844,0.6174956543975404,0.6522842487864261,0.55456084584153,0.7348181565917289,0.0818783827907358,0.071026230119391,0.0939425358903328,True,Supported,0.140810233102394,2.080631069797366,0.02528494654928215,0.015930974102868797,0.6174956543975404,8.187838279073581
cifar10_gist512,test,1.5,128,200,2.4920041665765753,4.134887270886648,6.57394970179369,6.223976542232453,37.101933260024,32.05893780582667,41.338178321912274,0.4117906850280979,0.5597815474126216,0.4865695354456855,0.6266522585092842,0.0373197237565587,0.033620389111678,0.0411807103168934,True,Supported,0.056431858624124295,0.8641911474054407,0.00598114219292435,0.00250935949125135,0.4117906850280979,3.731972375655878
cifar10_gist512,test,2.0,128,200,1.4004134053940662,2.2841778690016836,3.987829692793596,3.6240216413234663,42.72127836528677,38.24229710471806,46.60956778396231,0.3520528512931365,0.6025538809725487,0.5321720784111142,0.6624752080750056,0.0222360823592939,0.0200871687255631,0.024389324088674,True,Supported,0.036692797638950295,0.5055378578565033,0.00222662064911175,0.0007857271476783,0.35205285129313657,2.2236082359294
isolet,audit,0.5,128,200,58.01612951209664,8.397821028408273,8.567703651473757,129.05754135082043,1.98282562021459,-14.86464996181773,17.154932339636154,0.9804568588873556,1.6984420382344096,1.5356156489482131,1.9416682229289568,0.710414118387238,0.5671021348235835,0.8654649075654338,True,Positive but uncertain,0.9625782512558327,23.986160181035906,0.0033363914723998998,0.00308545401478425,0.9804568588873557,71.04141183872379
isolet,audit,0.75,128,200,24.27736921988173,13.639305965272424,15.540216895429008,67.69841237331794,12.232203340197367,5.795478862285971,18.537629186185747,0.8585928731831718,1.2449978738884224,1.1755945283767857,1.335119281336128,0.4342104315343621,0.3541901547134241,0.5278618789340901,True,Supported,0.674910536582313,9.026743894129904,0.0392422868414536,0.0314699172241487,0.8585928731831718,43.4210431534362
isolet,audit,1.0,128,200,10.167617811238532,11.658841895223372,15.013412076598554,30.642992525945033,22.343822738363105,17.352616520442893,27.04544958358832,0.647390032666022,0.9271698757769856,0.8819898746670068,0.9714841082176832,0.204753747147065,0.1759929610435815,0.2399687242725779,True,Supported,0.35877920572309707,4.044383274388544,0.03346669033344835,0.020493175371370798,0.647390032666022,20.4753747147065
isolet,audit,1.5,128,200,2.764586023921809,5.30940690615061,8.661259816746014,9.598963073532284,38.699369162379845,34.33577617170672,42.81238535261299,0.3640295746042441,0.6276440612281052,0.5849749923746476,0.6754705918442473,0.0683437704961047,0.0635332019696932,0.073476289372259,True,Supported,0.11409147377939424,1.3780262780438455,0.011774675793674,0.004051466714726349,0.3640295746042441,6.834377049610475
isolet,audit,2.0,128,200,1.3930424002132875,2.7964967283996396,5.3154537890683144,5.214259507055263,47.389313511653995,43.567102903179816,51.10794644821426,0.2772102311259306,0.6327205994986688,0.5878656235800697,0.6758452903250668,0.0382121710684197,0.0352160806939013,0.0412900685494875,True,Supported,0.060147390003702755,0.7726859141834309,0.0046701500897260995,0.0011849245678757,0.2772102311259306,3.821217106841975
